"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "Python", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "YAML", "comment", "blank", "total"
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\clientHeaderMappingRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 1, 31, 258
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\datapointConfigurationRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 340, 0, 0, 0, 0, 0, 41, 381
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\fileRecordRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 1, 22, 198
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\userClientRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 450, 0, 0, 0, 0, 4, 82, 536
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\repositories\userClientRepositoryFallback.ts", "TypeScript", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 4, 84
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\types\mssql.d.ts", "TypeScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\utils\auth.ts", "TypeScript", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\utils\glMonth.ts", "TypeScript", 0, 0, 0, 0, 0, 207, 0, 0, 0, 0, 11, 32, 250
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\utils\openai.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\utils\requestParsers.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\src\utils\sqlClient.ts", "TypeScript", 0, 0, 0, 0, 0, 396, 0, 0, 0, 0, 3, 55, 454
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\chartOfAccountsRepository.test.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 10, 76
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\clientFileRepository.test.ts", "TypeScript", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 24, 131
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\clientFilesFunction.test.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 14, 60
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\clientHeaderMappingRepository.test.ts", "TypeScript", 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 33, 286
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\datapointConfigurationRepository.test.ts", "TypeScript", 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 27, 268
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\fileRecordRepository.test.ts", "TypeScript", 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 13, 113
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\fileRecordsFunction.test.ts", "TypeScript", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 12, 90
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tests\userClientRepository.test.ts", "TypeScript", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 21, 127
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 22
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\docs\azure-sql-integration-guide.md", "Markdown", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 110
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\docs\map-ledger-mapping-ui-prototype.html", "HTML", 0, 0, 536, 0, 0, 0, 0, 0, 0, 0, 1, 26, 563
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\docs\runbook.html", "HTML", 0, 0, 833, 0, 0, 0, 0, 0, 0, 0, 0, 12, 845
"c:\Users\pete.richards\OneDrive - KSM Business Services Inc\Desktop\projects\map-ledger\docs\runbook2.html", "HTML", 0, 0, 621, 0, 0, 0, 0, 0, 0, 0, 2, 36, 659
